Item Number,Description,MSC#,Item Group,Item Sub Group,Supplier,Supplier Part Number,Brand,Unit Cost
1359,"0.5000 XM05007CS005R60M.  1/2""""  End Mill",,ENDMILLS,,Central,,Production Tool,94.15
1360,0.9055 23MM Chucking Reamer,,REAMER,,Central,,Production Tool,44.7
1361,0.3125 Straight Flute Thread Mills | Threads Per Inch: 28 | Thread Size (Inch): 5/16-28,60020245,,,MSC,,"SCIENTIFIC CUTTING TOOLS, INC.",139.25
1362,0.2677 6.80 mm X200MM 140D CARB ALPHA TFP CLNT XL DR,81578825,,,MSC,15188051,,280.44
1363,0.5000 1/2-28 Interstate - Hand Taps Thread Limit: H3,4844254,,,MSC,,,26.17
1364,0.7500 - 4048699 - Roughing End Mills | Mill Diameter (Inch): 3/4 | Mill Diameter (Decimal Inch): 0.7500,44851319,,,MSC,,,161.1
1365,0.3543 Rough 9mm Chamber Reamer (Remove Pilot),Pacific Tool & Gauge,REAMER,,Central,,Pacific Tool and Gauge,200
1366,1.4173 36.00mm M36x3.0 COOLANT TAP,Widell Industries,TAPS,,Central,,,0
1367,"0.7500 Sq End Mill, 5 LOC, 8 OAL, 3 Fl, ZrN",78088127,,,MSC,,,413.33
1368,28 Threads/In - Kennametal - 1712609 - Laydown Threading Inserts | Material: Carbide | Insert Style: 16ER,971895,,,MSC,,,26.31
1369,Chamber Flex-Hone 9mm 400sc,Brush Research,,,Central,7854,Brush Research,20.85
1370,Revolver Cyl .45ACP 400sc Flex Hone,59231316,,,MSC,905,Flex Hone,22.11
1371,"084-052-146WB .45 ACP Pistol, per Dozen",Brownells,,,Central,,Brownells,26.99
1372,0.6250 Accupro - Square End Mills | Mill Diameter (Inch): 5/8 | Mill Diameter (Decimal Inch): 0.6250,7766280,,,MSC,,Accupro,82.23
1373,0.7874 20.00mm M20x2.5 Guhring - 9039450200000 - Spiral Point Taps | Series/List: 3945,58542903,,,MSC,,,63.36
1374,1.0000 -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1375,1.1250 -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1376,.6875 -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1377,1.8750 -80mm Serrated Collet,,80MM COLLETS,80MM COLLETS_Serrated,,,,0
1378,.4724 (12mm) -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1379,1.3125 -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1380,1.2500 -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1381,1.2598 (32mm) -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1382,1.6250 -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1383,1.4375 -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1384,1.5000 -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1385,.9375 -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1386,1.8898 (48mm) -80mm Collet,,80MM COLLETS,80MM COLLETS_Round,,,,0
1387,1.5000 -80mm Serrated Collet,,80MM COLLETS,80MM COLLETS_Serrated,,,,0
1388,2.0866 (53mm) -80mm Serrated Collet,,80MM COLLETS,80MM COLLETS_Serrated,,,,0
1389,1.6250 -80mm Serrated Collet,,80MM COLLETS,80MM COLLETS_Serrated,,,,0
1390,1.7717 (45mm) -80mm Serrated Collet,,80MM COLLETS,80MM COLLETS_Serrated,,,,0
1391,1.5748 (40mm) -80mm Serrated Collet,,80MM COLLETS,80MM COLLETS_Serrated,,,,0
1392,.3120 -65mm Collet,,65MM COLLETS,65MM COLLETS_Round,,,,0
